Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,,,,,,
,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,,
The Joneses,Independent,61,47,Temptation,Comedy,,,1.48,0.49,1.97,10,19.70%,0.51,,,http://www.imdb.com/title/tt1285309/,,,,,,
The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.12,40,897.80%,55.7,,,,,,,,,
The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,13.89,34.704,4,867.60%,3.5,,,,,,,,,
The King's Speech,Independent,95,93,Maturation,Biography,700,6406,138.79,275.41,414.204,15,2761.36%,4.4,"Best Picture, Director,  Actor, Orig. Screenplay",,http://www.the-numbers.com/movie/Kings-Speech-The,,,,,,
The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.94,319.713,150,213.14%,40.3,,,,,,,,,
The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,26.70,67.733,1.8,3762.94%,20.4,,,,,,,,,
The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20,445.20%,16,,,,,,,,,
The Losers,Warner Bros.,47,55,Revenge,Action,2936,3204,23.59,5.79,29.38,25,117.52%,9.4,,,,,,,,,
The Next Three Days,Lionsgate,51,66,Rescue,Crime,2564,2552,21.15,46.30,67.45,30,224.83%,6.54,,,,,,,,,
The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.21,170.431,100,170.43%,35.5,,,,,,,,,
The Runaways,Independent,68,56,Maturation,Biography,244,3300,3.57,1.11,4.677,10,46.77%,0.8,,,,,,,,,
The Social Network,Sony,96,89,Rags to Riches,Biography,2771,8100,96.96,127.96,224.919,50,449.84%,22.4,,,,,,,,,
The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,3504,5028,63.15,152.13,215.28,150,143.52%,17.6,,,,,,,,,
The Spy Next Door,Relativity Media,13,46,Rivalry,Action,2924,3326,24.31,20.93,45.239,,,9.7,,,,,,,,,
The Switch,Independent,52,44,Comedy,Comedy,2012,4193,27.78,22.05,49.831,19,262.27%,8.4,,,,,,,,,
The Tourist,Sony,20,44,,Thriller,2756,5977,67.63,210.72,278.346,100,278.35%,16,,,,,,,,,
The Town,Warner Bros.,94,83,Rivalry,Crime,2856,8322,92.19,61.84,154.025,37,416.28%,23.8,,,,,,,,,
The Twilight Saga: Eclipse,Summit,50,74,Monster Force,Drama,4468,14510,300.53,397.96,698.489,68,1027.19%,64.8,,,,,,,,,
The Wolfman,Universal,33,38,Monster Force,Drama,3222,9770,61.98,77.81,139.79,150,93.19%,31.5,,,,,,,,,
Tooth Fairy,Fox,16,46,Comedy,Comedy,3344,4190,60.02,52.44,112.46,48,234.29%,14,,,,,,,,,
Toy Story 3,Disney,99,91,Rescue,Animation,4028,27385,415.00,648.16,1063.16,200,531.58%,110.3,,,,,,,,,
Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,3451,12578,172.06,228.00,400.062,170,235.33%,44.03,,,,,,,,,
True Grit,Paramount,96,86,Revenge,Adventure,3047,8149,171.24,81.03,252.273,38,663.88%,24,,,,,,,,,
Unstoppable,Fox,86,73,Rescue,Action,3207,7075,81.56,86.24,167.802,95,176.63%,22.69,,,,,,,,,
Valentine's Day,Warner Bros.,17,54,Love,Comedy,3655,15351,110.49,106.00,216.485,52,416.32%,56.2,,,,,,,,,
Vampires Suck,Independent,4,32,Comedy,Comedy,3233,3774,36.66,43.89,80.546,20,402.73%,12.2,,,,,,,,,
Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,3565,5333,52.47,82.27,134.743,70,192.49%,19,,,,,,,,,
When in Rome,Disney,15,44,Love,Comedy,2456,5029,32.68,10.36,43.04,,,12.3,,,,,,,,,
Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,2155,13591,60.09,0.58,60.67,20,303.35%,29.3,,,,,,,,,
Winter's Bone,Independent,94,73,Quest,Drama,,,6.53,7.30,13.831,2,691.55%,0.8,,,,,,,,,
Yogi Bear,,14,36,,Comedy,3515,4669,100.25,101.34,201.584,80,251.98%,16.4,,,http://boxofficemojo.com/movies/?id=yogibear.htm,,,,,,
You Again,Independent,18,45,Comedy,Comedy,2548,3300,25.70,6.30,32.003,20,160.02%,8.4,,,,,,,,,
You Will Meet a Tall Dark Stranger,Independent,43,35,Love,Comedy,402,,3.24,31.03,34.267,22,155.76%,0.16,,,,,,,,,
Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,1873,3678,15.28,4.37,19.649,18,109.16%,6.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
